,node_number,edge_number,graph,fw_node_wfs,bw_node_wfs,connected,fw_len,bw_len
61,2,2,"move(1,2). move(2,1).",{'draw'},{'draw'},SAT,1,1
62,3,3,"move(1,2). move(2,3). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
63,3,1,"move(3,2).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
64,3,1,"move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
65,3,3,"move(1,3). move(2,3). move(3,2).",{'draw'},"{'won', 'lost'}",SAT,1,2
66,4,1,"move(1,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
67,4,2,"move(1,3). move(1,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
68,4,1,"move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
69,4,1,"move(1,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
70,4,2,"move(1,4). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
71,4,2,"move(1,3). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
72,4,1,"move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
73,4,2,"move(1,3). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
74,4,3,"move(1,3). move(1,4). move(2,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
75,4,2,"move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
76,4,2,"move(1,4). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",UNSAT,2,2
77,4,3,"move(1,3). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
78,4,3,"move(1,4). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
79,4,3,"move(1,3). move(1,4). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
80,4,4,"move(1,3). move(1,4). move(2,1). move(2,3).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
81,4,1,"move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
82,4,2,"move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
83,4,2,"move(1,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",UNSAT,2,2
84,4,3,"move(1,3). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
85,4,2,"move(1,4). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
86,4,3,"move(1,4). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
87,4,4,"move(1,3). move(1,4). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
88,4,3,"move(1,3). move(1,4). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
89,4,2,"move(2,1). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
90,4,3,"move(1,3). move(2,1). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
91,4,3,"move(1,4). move(2,1). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
92,4,4,"move(1,3). move(1,4). move(2,1). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
93,4,3,"move(2,1). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
94,4,4,"move(1,4). move(2,1). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
95,4,1,"move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
96,4,2,"move(1,3). move(3,1).",{'draw'},{'draw'},SAT,1,1
97,4,4,"move(1,3). move(2,1). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
98,4,5,"move(1,3). move(1,4). move(2,1). move(2,3). move(2,4).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
99,4,2,"move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",UNSAT,2,2
100,4,2,"move(2,1). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
101,4,3,"move(1,3). move(2,4). move(3,1).","{'won', 'draw', 'lost'}","{'won', 'draw', 'lost'}",UNSAT,3,3
102,4,3,"move(2,1). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
103,4,3,"move(1,3). move(2,1). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
104,4,2,"move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
105,4,4,"move(1,3). move(2,1). move(2,4). move(3,1).","{'won', 'draw', 'lost'}","{'won', 'lost'}",SAT,3,2
106,4,3,"move(2,1). move(2,3). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
107,4,3,"move(1,3). move(2,3). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
108,4,4,"move(1,3). move(2,1). move(2,3). move(3,1).",{'draw'},"{'won', 'lost'}",SAT,1,2
109,4,3,"move(2,3). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
110,4,4,"move(2,1). move(2,3). move(2,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
111,4,4,"move(1,3). move(2,3). move(2,4). move(3,1).","{'won', 'draw', 'lost'}","{'won', 'lost'}",SAT,3,2
112,4,2,"move(1,4). move(3,1).","{'won', 'lost'}","{'won', 'lost'}",SAT,2,2
